0,4407
1,7147
2,16495
3,4378
4,1362
5,20932
6,9015
7,1303
9,18989
10,3495
13,1627
14,1699
15,17364
16,19394
18,10879
19,11239
20,16837
21,7853
22,17882
23,14246
24,10757
25,12
28,14112
29,6031
30,11088
32,17836
33,11683
35,7381
36,21331
37,5601
39,10871
40,2828
41,8857
47,9387
48,19269
49,8096
50,16936
51,16358
53,17892
54,6572
55,4850
57,13302
58,5531
62,19310
63,19627
64,8391
65,11129
66,5651
69,14641
72,6043
73,19782
74,2656
75,12501
79,12731
80,6526
81,17194
82,7743
83,13596
86,7610
87,2152
88,3269
89,10105
90,12472
91,17687
92,11014
93,8350
94,9051
97,15904
98,2775
99,6551
100,15194
101,2593
102,7767
103,8042
104,11791
106,4772
107,2096
108,1311
114,9223
116,2347
117,7323
118,17478
119,20772
120,14795
122,20035
123,1429
124,8974
126,1555
128,2701
129,10595
130,21702
131,19896
132,8691
134,3740
135,1242
136,2576
137,21120
138,11468
139,21687
140,5699
141,16750
142,15665
143,17825
145,15891
146,12097
147,21192
148,16350
149,141
150,15128
151,19193
154,16442
155,3446
157,16205
158,13082
159,9709
160,985
161,18248
162,18055
163,123
164,18937
165,2423
166,12781
170,4112
172,14392
173,4595
174,5474
175,20939
176,951
177,6960
178,19149
179,1572
180,6865
181,12012
182,13577
183,11424
184,2959
186,1928
187,8849
188,18575
189,3337
191,1243
192,11131
194,6876
195,18514
199,5511
201,9572
202,7497
204,17234
205,10517
207,16759
208,12738
209,10972
211,17049
212,21947
215,6601
216,18752
217,5274
218,5037
219,729
221,16624
222,5730
223,3863
224,21724
225,12627
226,18373
227,2202
228,18020
229,13258
232,19242
234,20499
235,16182
239,10617
240,13113
241,20446
242,10180
243,1831
244,4734
246,13589
247,18804
248,1688
249,5244
251,15557
252,6017
255,961
256,12075
257,5930
258,10646
259,10734
260,20837
261,7227
264,16640
265,21986
266,4860
269,3184
271,11172
272,3965
274,19209
275,20623
276,15426
277,15099
278,19779
279,5008
280,5349
281,7824
282,15687
283,1886
284,14569
286,18626
287,19434
288,6712
289,18559
290,15478
291,9020
292,14489
294,19911
296,14689
297,15653
299,4644
302,16641
303,19299
304,19884
305,14541
306,21886
307,2229
309,19291
312,13299
313,8870
315,1727
316,6417
317,1082
319,21483
320,13393
321,20697
322,9990
324,19773
325,4876
326,11423
327,6742
328,14369
329,8
330,13536
333,3710
334,725
335,6663
336,20174
337,6115
338,13775
339,13560
340,18622
342,9325
343,11856
344,12306
345,8386
346,379
347,10511
348,7159
350,14612
351,10048
352,17173
353,14169
354,16760
355,4909
356,21591
357,4080
358,9399
359,12382
360,11566
361,17436
362,18769
363,4641
364,18906
366,9375
367,11569
370,15071
375,1094
376,9389
377,8328
378,21690
379,20571
380,4861
381,320
382,6533
385,18965
386,7994
387,1160
388,1450
390,11602
391,7162
392,2318
394,15681
395,17059
396,7144
397,14825
398,17563
399,713
404,2592
405,11955
410,1341
411,20452
413,284
414,1529
415,15188
416,19475
418,1306
419,13253
421,17564
422,17855
423,4937
424,21919
426,2136
427,8561
428,6990
429,6381
430,4193
431,18464
432,12352
433,12366
434,383
436,3381
437,3730
439,17347
446,5774
447,13174
448,13173
450,17636
451,20034
452,16645
453,4006
454,1891
455,19347
456,1980
457,2035
458,3319
459,20827
460,5261
461,18389
462,12785
463,11440
464,10075
465,15278
466,16317
467,18122
468,20645
469,2720
470,10874
471,3108
472,7396
473,3860
474,18529
475,12746
476,2717
478,4380
480,376
481,17197
482,14766
483,1149
484,3685
485,20607
490,12536
491,19957
492,14430
494,4219
495,13141
497,3071
498,5577
499,16928
500,12544
501,4355
502,11435
503,7821
504,7499
509,1798
510,3341
511,21071
512,3723
513,2644
514,19852
515,12701
517,6065
518,2138
519,14264
522,14014
523,14091
524,5425
525,14462
526,6892
527,485
528,76
529,17879
530,6615
531,19817
532,8071
533,21896
535,10214
536,15737
537,790
538,17174
539,11542
540,9383
541,9189
542,9939
544,13664
545,9656
546,735
547,11275
548,3414
550,19539
554,17380
555,19009
556,6721
557,7958
558,5883
559,21310
561,18152
563,18915
564,17673
565,13179
566,18686
567,14120
568,969
570,9470
571,15299
572,4643
573,16964
574,7219
575,1128
576,20429
577,21736
578,4259
579,15015
581,17697
582,12971
584,965
585,19031
587,3378
588,20108
589,16953
591,19474
592,5679
594,3283
595,14869
596,11963
597,22043
598,14107
599,556
600,12881
602,18093
603,21731
604,15829
608,19334
610,15811
611,13876
612,2829
613,19807
614,22045
615,17519
616,1551
617,19540
618,10042
619,2355
620,10923
621,15170
622,3160
623,8820
624,4039
625,18443
626,14707
629,2739
630,4759
631,14381
632,13149
634,925
635,13762
636,9151
637,15920
638,20333
639,12389
640,9645
641,19055
643,9502
644,9987
645,6760
647,18332
648,8812
649,16913
652,6708
654,619
655,14266
656,10558
657,21301
658,21942
659,11303
660,15450
661,8607
662,17223
663,7135
664,11618
665,2821
666,12514
667,7079
668,20255
669,4415
670,10527
671,16444
