id1,id2
610264,596376
395705,403623
527696,780596
241572,133829
635900,279403
753252,50880
336393,397066
37307,500535
297551,601655
233707,24563
19958,949565
81390,831058
912799,393559
374235,173872
743740,784061
70054,237487
510901,824253
904548,449577
21861,897021
25536,807527
717769,155826
884367,144268
168403,897267
204217,604128
8556,70178
291489,499130
826716,367583
154500,853925
636484,446581
897759,622767
255336,788332
102778,724201
334049,750025
375216,543144
592049,72180
315200,897267
463571,706424
269870,551712
613112,151741
845377,733457
574159,817633
410711,168891
864933,958939
79146,121999
288239,656273
53100,667880
118431,546978
743052,891303
837931,346607
916694,855831
135006,918946
356327,585846
308618,610391
632716,609287
350380,811197
427810,835524
149461,668089
884552,721863
669805,359608
338703,815077
954394,481834
959918,407901
472987,951230
751536,652710
977592,206488
400176,625649
951102,284679
855640,55934
342375,497252
167368,536180
638080,182793
754614,775318
926410,892095
691332,336801
823605,91580
692024,490261
899777,735249
741235,10235
710256,644820
769989,710670
333782,155253
79951,546504
561979,321205
95865,499130
245331,397074
418242,708512
149461,897267
338628,817181
665525,948615
261961,179849
893814,399228
667255,145598
341206,414055
931111,133068
914822,934739
754645,352867
80830,249116
968801,702124
294045,362264
10083,365182
564748,81419
692978,511594
627142,300278
617269,776300
477734,893964
805575,866510
599879,136543
74175,414428
266390,437719
146912,50820
724359,975251
504996,243316
264405,521408
253810,705160
808557,941860
763116,928610
324156,957877
485539,674168
486066,742231
970678,936563
936585,649808
296195,268087
951311,27904
595707,799097
92977,294856
919960,231618
114641,166095
239872,172673
604571,579701
970460,463228
727528,92502
425835,848785
272177,549427
941025,348221
952736,688683
442323,411175
594435,474452
962482,889287
618110,410308
431683,668089
155891,411175
244200,26681
396017,743278
199296,543522
98150,129046
769989,710804
637558,843550
610860,575732
858001,717885
3114,31303
912606,340256
507662,80677
245648,964592
916770,874877
847505,632341
230385,449490
594880,731319
911752,201653
499968,573815
480101,85957
936055,217681
262098,918048
183005,717077
564306,507487
233196,315052
113106,344094
382403,244805
230535,733457
674170,831633
431704,214426
521793,460484
281174,519496
687480,171749
321633,355571
69553,3091
466413,620562
454136,522968
549860,563533
169153,955560
707397,934554
56303,624635
214339,578745
311802,20335
192015,114297
29025,311295
145221,636828
617619,599931
545250,108158
484816,352976
607875,97271
277808,734742
63909,308714
917519,645889
627445,409447
505143,895077
612746,434412
549221,276227
564023,48379
91457,958684
727977,699913
297112,544957
50005,57471
561462,85976
450604,33245
704146,521194
807575,89478
919436,629376
391999,27349
248317,321743
758990,221373
468111,18107
914320,819914
198159,589224
184905,290856
496283,943974
348813,640706
950731,754294
695024,826441
89478,848509
679427,376875
662522,817051
305826,208945
644035,147051
942595,615874
720807,572912
853903,288506
774597,535443
396540,926135
892068,936704
368597,25091
977494,386837
25693,254214
69521,828334
108894,332998
258795,135141
426259,165399
930689,602522
120620,624076
146045,579483
886177,326362
618731,559874
233379,48379
85006,290493
783688,162420
297895,532218
129634,748718
126632,577209
798741,887301
681819,788028
231749,802875
34373,724887
715187,133392
822777,570430
950353,165699
928049,978439
489185,490615
636812,271534
447833,193007
317344,949011
757375,837623
489278,303647
53179,429827
669185,674181
305536,818680
522421,492393
945263,350772
699630,954221
720180,966172
806482,577745
184350,638434
384917,779502
74071,728422
630994,866510
512538,58970
899118,637523
521314,298895
29960,928580
761116,928767
430953,817610
374348,91580
195018,603558
636122,217140
821956,143864
662988,505536
172738,797209
736974,127752
442235,536443
315311,510661
457360,673933
355704,923101
4554,853730
127759,269065
367827,769797
846070,464596
274622,365379
303729,315200
547254,846059
704360,700792
44284,854854
89864,325196
318022,36037
926469,87693
781522,496129
602495,356175
30859,342325
297504,575333
560487,30260
68739,465538
95951,516096
829126,426274
377887,978114
439539,328825
244600,222511
231651,335398
744958,609873
737647,198387
373149,180448
180031,252073
414390,814718
855740,701952
223539,592269
861773,69558
675108,579752
526913,909927
43998,789549
936527,110429
115079,730858
105708,755445
538373,411803
505935,285126
157606,287828
560822,306881
119782,120377
278662,439699
136233,920396
486703,937874
248011,936167
490991,312145
684622,286974
779252,855698
555142,769710
891374,282199
456672,239298
490991,467348
434960,36262
247332,304375
525679,423853
338904,105656
867449,576807
858272,580631
347034,823437
646550,408055
677074,909382
76153,90064
393767,278776
803860,655278
566320,848180
848301,52358
910395,16579
719379,272455
866208,513909
487496,839591
75817,156521
363955,194718
412193,766370
165432,190949
936527,414263
592436,414055
289958,232379
473163,589606
531505,315405
869432,350380
464925,25035
776300,789094
627142,354545
196751,182869
879490,234737
284154,252142
458313,113579
239351,555362
835567,618889
937475,399507
363393,38904
850580,930672
250586,775201
372269,966183
669619,354667
625938,124908
445807,523826
629938,154837
544712,227215
378656,940715
758406,675247
513629,271835
592180,362980
320214,420490
672629,917040
769791,101258
206697,466470
968777,338918
402312,668947
196929,757371
469994,564993
12845,663623
91580,156511
130336,612267
498125,828316
181867,608668
149045,826716
440252,853062
902993,655908
504414,969722
283844,420291
157759,491633
534714,220289
563387,69270
262098,111345
352488,965645
941325,217217
389996,129568
612435,953240
825639,625771
579894,310321
390854,917169
929582,26346
780364,22996
588078,763651
502868,372227
402964,76028
19523,621462
34235,323948
900906,724842
203147,723142
561885,941741
252462,92307
88236,863490
182519,190949
187094,244978
267137,390405
247790,718792
281575,859815
658023,145042
469094,133994
124584,124122
370767,681672
148878,376033
329756,897592
438842,103069
67837,238359
596666,353169
899186,617239
682033,254597
157638,38425
332712,357599
810759,968374
441788,905651
227472,374947
812579,301503
334764,364590
496763,162742
370834,937359
331977,161605
396857,968954
181901,866999
362189,528605
51018,70119
649118,71947
696071,788450
467066,380362
292309,65126
258950,756215
887165,728942
252775,139807
653374,325444
340733,631469
647470,247565
835440,155002
929971,617318
275810,279776
303041,811892
830701,870547
930648,505154
119907,838072
704318,535034
894838,367741
411684,496992
162596,434328
290416,265412
794473,957397
901730,582397
397548,494064
882935,70934
79159,75469
752817,963871
226351,339197
843947,672044
937755,42843
152382,331742
852477,613949
394806,661608
401760,116677
365182,757176
696484,566246
953803,185417
647106,161250
769791,289958
65592,474482
852526,961540
730525,151762
383778,408772
554653,901140
667249,442937
910395,301900
766352,947472
67703,124122
721477,410277
682821,903760
953229,282442
928452,383891
329356,235137
579228,337485
934153,65571
469071,579724
139807,337261
669630,219784
68178,927736
369810,542301
392424,351346
706032,642828
245630,761700
892095,347634
701136,509250
243773,184852
599027,798643
214942,453760
444549,700
361743,288346
912107,134960
362785,12157
175035,855332
515006,366869
967611,263928
74914,22996
5854,154323
877835,875983
492752,283351
349027,357817
43423,951171
178593,366567
21547,183700
776835,865903
21736,531641
604866,7895
81390,467406
726188,290639
416355,455832
865055,596113
958684,538374
729425,857700
362521,534028
277194,497675
287324,462170
434523,402376
62481,325383
46185,379743
970678,134920
178849,608418
70283,412672
593663,461822
641128,652731
180734,310877
860583,183005
936527,788450
131125,386987
179308,149827
822003,809574
286316,806166
22996,4146
354476,377543
162069,949838
256738,182040
267152,136128
589058,620528
557089,558874
511461,633046
172752,442323
645361,715319
713729,69923
640773,783601
276129,219806
438185,845311
655551,958825
175845,157004
962683,456719
564544,197387
937475,525679
174687,830220
956590,278622
914597,974916
141685,93187
441013,644891
908650,847746
281551,946251
176159,237057
602362,312227
445213,326388
526201,542424
608960,796968
335881,630266
679805,861385
859284,387279
651793,4654
937825,906047
570261,237500
894584,405673
735105,572556
792305,107121
425838,843947
419995,518175
358545,109894
671349,690427
793679,817576
187274,321971
619645,801824
24649,749687
450252,877618
666839,930067
725075,964712
596980,561813
256738,596528
410711,145042
147112,718530
235322,442654
115132,183272
717379,830039
267049,266513
338823,276903
773975,304884
469348,458493
817005,96492
905425,434145
150497,642140
692860,800508
578015,12236
603024,798600
549444,188177
412188,384820
663134,907799
617370,49549
798321,385021
132154,855844
778291,561979
532681,713186
677945,73035
523849,701136
79731,250323
423084,168657
875359,91947
16497,575381
147853,660250
320511,315854
591516,112522
974383,721477
4146,967234
861487,728213
859936,25355
918165,391527
753252,485563
768610,28706
51200,861150
898932,897606
221637,657860
861838,808565
860040,707527
213948,644215
190380,657373
561428,815025
174252,825037
736317,361527
40123,308542
254107,510681
648412,314
507558,755231
475692,202459
769989,861953
537754,835682
953620,866362
175588,368500
322795,539271
57875,545728
653998,330422
8495,430397
761600,867449
428249,351451
379904,579894
96881,800836
534660,898139
205787,969608
115955,708158
873956,225883
827040,517009
311295,36037
310263,882261
168752,671349
724446,966712
123928,593347
364267,446687
943436,47958
642693,881579
242306,679331
285836,31839
162948,970676
377167,641310
36037,300683
283227,871416
270292,174487
17964,854760
138312,525679
282088,785286
50407,826951
682064,748891
405210,61023
758956,637358
608714,559142
498171,283211
599448,71160
382615,760847
934709,928900
286607,662993
510661,520756
928691,382061
315200,642017
976514,229623
157143,203796
314758,380382
324353,554245
633046,507610
132154,149461
476097,342411
340097,92496
399228,853040
945824,964734
600410,822498
790976,900930
727528,414263
739490,759871
141741,11978
653360,581955
85513,904366
314,914765
180734,334597
410711,574251
412193,172861
507487,93187
680124,395243
166761,323655
92139,73085
346090,431359
10685,777067
167422,133770
257261,459603
669515,776401
272448,950211
663209,586322
849838,250393
805083,1575
481797,191242
384104,740744
441590,22794
17055,55284
2546,314770
312227,412003
302580,555125
359586,894584
976681,333918
862348,363020
546596,63934
115136,878511
645889,679338
911438,692009
262456,853644
187534,515733
300579,516426
59006,761919
115136,377543
233784,441113
311090,35542
2126,687606
591516,809361
496391,855844
648209,413483
328116,597153
794478,850299
149777,726819
932147,605203
928691,607875
36037,301900
643294,270485
778369,784721
595592,513084
366262,219891
707425,365795
643644,979080
252533,824323
706414,538150
154172,663122
819895,692860
51200,781121
458123,400120
842499,808013
25664,580088
708158,205787
505993,657488
147853,496992
204766,8988
390234,82603
254900,485590
605316,416452
31045,486494
647534,511461
367336,730673
923641,797433
372457,737031
410277,771412
542726,887955
44662,782288
769701,576799
516101,21469
225883,240112
841518,43088
351991,20946
432432,53265
219736,567812
416614,546008
439743,797383
136859,485344
522636,807084
183272,390234
281431,955105
32384,38038
717391,595400
611820,661663
629751,8434
663376,281859
560860,376410
298235,964291
570603,550723
392844,285614
500816,147751
758160,799517
284679,507662
732443,544871
463188,360606
481672,244741
313217,760510
165991,866059
23449,941066
182415,698875
527101,924049
863748,424760
754734,19635
716087,237779
781785,322207
3880,732319
736475,724686
423853,340733
11656,949446
83625,152110
690312,820481
2744,113408
63626,809856
606331,306286
142890,461127
763897,852438
281472,686619
85074,459277
771412,399507
435063,819087
160098,303729
711524,278175
718632,380572
864194,413543
213359,935469
317960,192736
319421,891132
525623,133352
157638,92502
108505,678216
787188,39842
357170,486643
574031,303041
940244,672278
808940,431650
231510,64240
377543,239351
271170,65562
323598,832847
315690,676912
712988,760021
292828,616292
149119,547679
827543,408411
34268,751702
531641,843317
139182,489160
531300,88089
214500,816051
739406,607875
228299,414296
696071,303729
238641,363109
643253,269471
682701,234804
431683,771412
46253,320795
322530,788040
145539,708322
329720,444981
796216,233145
105734,884140
755445,616707
765160,189038
721477,739382
339708,434744
27571,647738
584828,730858
263655,610934
641579,629091
83098,36542
637675,189011
892979,847560
893363,362785
853674,375815
557349,284126
792177,436190
721477,739406
720980,943268
963613,840947
920860,794325
738825,16579
807224,356958
321264,125110
144117,382383
486025,852760
394822,890758
866395,673002
96352,885815
280792,434412
871478,964450
938016,831870
291792,607562
423853,779808
102743,643644
92502,168403
609027,766051
403918,75131
617343,451475
139341,691015
531916,408582
507963,168450
972775,604571
382061,977118
221071,463126
928199,95169
343247,490112
196694,341489
819109,698640
831252,392424
334526,958302
206337,407426
900364,963238
447698,87312
533696,38839
272106,420943
99197,365305
721477,739490
167848,125760
960158,339774
493335,152040
304882,861039
92331,150357
25091,694226
659659,849715
503050,877594
354476,878511
840975,184218
506079,17168
719350,79951
783948,172541
591568,294206
116249,830140
564804,43427
363020,320756
332199,614454
295458,308590
342450,773158
808137,974797
319920,888323
212500,578745
690732,17055
4082,937490
461452,186361
74914,936527
739406,668089
23958,420982
26221,258950
890024,379389
583022,472265
549505,719639
614024,74914
203230,105087
177838,932824
659713,267899
931446,194696
787711,378549
282017,574610
414446,868303
769710,977997
70119,762367
649726,595719
218388,869377
225883,854519
213403,804859
588331,705403
383608,526183
90690,449862
43964,785599
634071,377363
788450,377543
44815,347543
108736,798733
723521,321590
4146,380355
287842,565738
936633,753182
